gvkey,cik,obfirm,wrdsfname,fdate,conf_call_filename
6314,20,1,000000/20/0000950123-09-059979.txt,11/9/2009,109764_T.xml
6314,20,1,000000/20/0000950159-09-001266.txt,5/13/2009,109803_T.xml
6314,20,1,000000/20/0000950159-09-001782.txt,8/10/2009,109861_T.xml
1004,1750,1,000000/1750/0001104659-04-028229.txt,9/22/2004,
1004,1750,1,000000/1750/0001104659-04-040359.txt,12/20/2004,110224_T.xml
1004,1750,1,000000/1750/0001104659-05-011286.txt,3/16/2005,110273_T.xml
1004,1750,1,000000/1750/0001104659-05-032222.txt,7/13/2005,508545_T.xml
1004,1750,1,000000/1750/0001104659-05-032222.txt,7/13/2005,
